threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.2,1.4,5,13,0.42,0.65,110,0.02,0.001,0.1,0.8563709952743295,0.44565994975416007,0.886891352005588,0.2976069052942949,573.2
0.1,1.8,4,21,0.2,0.35,60,0.02,0.001,0.5,0.8564130966508097,0.40364104269811385,0.9780201848585295,0.2542970780374686,890.0
0.33,1.8,6,21,0.4,0.35,110,0.02,0.0,0.5,0.8565967462023263,0.45743433256658006,0.7809188075486573,0.32346327669812924,655.0
0.1,2.0,3,19,0.4,0.45,100,0.01,0.0,0.5,0.8558930634889463,0.4002257318427412,0.9804463098194731,0.2514315072787509,986.4
0.3,1.8,8,5,0.42,0.55,130,0.005,0.005,0.7,0.8563576986008139,0.4571038272615085,0.8222381546436303,0.31655414862268166,508.2
0.2,2.0,8,11,0.4,0.45,80,0.01,0.005,0.7,0.8563080811611204,0.4277954228451867,0.9361309884408033,0.2772502912685857,606.4
0.33,1.6,7,21,0.2,0.6,130,0.0,0.001,0.5,0.8564324939598299,0.4575038687514198,0.7432395391600158,0.3304866702428686,511.6
0.15,2.0,7,21,0.42,0.55,120,0.01,0.001,0.3,0.8565188267765631,0.41356028235206743,0.9655321628223865,0.2631387736231975,577.6
0.3,2.0,8,7,0.42,0.35,90,0.02,0.005,1.0,0.8566400842734966,0.45432191146969625,0.8459302934069569,0.3105708160907127,642.2
0.2,1.4,4,11,0.15,0.45,70,0.0,0.0,0.3,0.8563751403896515,0.4454833099341056,0.8856786205663709,0.29759245621759933,864.4
0.25,2.2,3,17,0.3,0.65,80,0.01,0.001,0.7,0.8349605467424022,0.42332406863302385,0.9083712184584529,0.2759662372228622,36.0
0.15,1.6,8,3,0.1,0.6,80,0.001,0.005,1.0,0.8564759178430389,0.42121177508569296,0.9536858515259603,0.270300164045806,489.8
0.25,1.4,7,9,0.1,0.6,70,0.01,0.005,1.0,0.8564922606867607,0.4564922855885145,0.8236654772099741,0.31575289521039485,466.8
0.3,2.2,5,17,0.4,0.65,110,0.02,0.001,0.3,0.8518657997026635,0.4493072192227773,0.8255164052586668,0.3087968726973445,379.6
0.33,2.0,6,11,0.15,0.55,130,0.01,0.005,0.3,0.8564429141373264,0.45733483784796664,0.8129609017360059,0.3181715580627663,641.0
0.2,2.0,3,11,0.15,0.55,100,0.005,0.005,0.1,0.8559604357061186,0.4253978556307786,0.9434810974170379,0.2746103140921764,988.8
0.15,1.6,4,15,0.42,0.45,80,0.0,0.001,0.7,0.8562446486011825,0.420049243717617,0.9548277146719777,0.26925378680273077,826.4
0.2,2.2,6,15,0.1,0.45,110,0.01,0.005,0.1,0.856368724718665,0.4236395578411056,0.946692426769218,0.27288119721740944,778.0
0.3,2.0,6,3,0.2,0.55,110,0.01,0.005,1.0,0.8564849361079181,0.45318592971140054,0.846001518206123,0.30949472484540663,581.4
0.3,1.6,6,9,0.2,0.6,120,0.0,0.001,0.5,0.8565908129975849,0.45808683813600537,0.7901963151034008,0.32254363220150556,572.2
0.33,2.0,8,7,0.3,0.45,130,0.0,0.001,1.0,0.8563759576638521,0.45644560591943567,0.8124612331592311,0.3173828019523801,602.0
0.3,1.4,3,15,0.15,0.6,70,0.0,0.001,0.7,0.8560288658902474,0.45753784478227527,0.7557281214198206,0.3280974730740102,991.6
0.2,1.6,6,13,0.2,0.6,90,0.01,0.001,0.1,0.8564254130768291,0.439153204829495,0.9095845865154674,0.289455975491122,513.4
0.25,1.4,8,19,0.1,0.55,80,0.0,0.005,0.1,0.856490798983755,0.45724736880159955,0.8228802473540254,0.31659082901767127,443.4
0.1,1.6,4,3,0.4,0.45,80,0.001,0.001,0.1,0.8563589999073565,0.40618769127188364,0.9750228609451025,0.25652923261167515,857.8
0.3,1.6,6,11,0.2,0.45,60,0.001,0.001,0.1,0.856325795591164,0.4574349084673508,0.7929079758788063,0.3214492283942214,649.6
