threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.25,1.6,6,17,0.25,0.3,135,0.0005,0.004,0.5,0.8566380776316448,0.45297915476394357,0.8553498685893542,0.30807148002440304,607.4
0.25,1.2,9,7,0.15,0.3,75,0.001,0.0,2.5,0.8565874062794434,0.45671047994038344,0.7726408408651586,0.3241750489598781,421.8
0.2,1.2,5,19,0.15,0.38,75,0.003,0.002,1.5,0.8563296543794721,0.4518582443854565,0.8532090757251776,0.3073099702811386,698.8
0.2,1.8,8,7,0.2,0.34,45,0.004,0.0,1.5,0.8566343810798942,0.4327521375172688,0.9277101901882936,0.28219981753106116,578.0
0.35,1.6,7,11,0.15,0.38,75,0.0005,0.002,2.5,0.8562713042424204,0.4563551084869936,0.7091283862018949,0.3364508658386864,594.8
0.15,1.8,4,15,0.35,0.36,105,0.0005,0.004,1.5,0.8564583473281345,0.4149528613462231,0.9638193044415806,0.26439162306103264,929.4
0.15,1.6,7,7,0.3,0.34,135,0.001,0.003,1.0,0.8566265958441266,0.4207943680590101,0.9538286321655471,0.2699432891438215,576.0
0.35,1.4,8,21,0.3,0.36,120,0.004,0.002,1.5,0.8566299732788704,0.44643389946721046,0.623708308855379,0.3476583621508069,509.2
0.2,1.0,6,19,0.2,0.36,165,0.004,0.003,1.5,0.8564983474816487,0.45683427254535197,0.8093211540709289,0.31824489129457223,501.4
0.15,1.6,6,9,0.3,0.32,105,0.002,0.002,1.5,0.8566359338236111,0.4204269334816801,0.9542568722254604,0.2696076306946182,672.2
0.35,1.4,8,5,0.35,0.32,45,0.001,0.003,2.0,0.8566976882246431,0.4453262698345883,0.6224949917277882,0.3466911565598203,579.8
0.35,1.2,9,19,0.3,0.36,30,0.0005,0.002,1.0,0.8565161741432605,0.41836126966411646,0.48769323578311496,0.3664010828824905,400.6
0.3,1.2,6,15,0.3,0.38,150,0.002,0.003,2.5,0.8562645899317227,0.4528769351216487,0.6815106838471985,0.3391599159802081,525.6
0.25,1.4,9,19,0.25,0.34,90,0.001,0.0,1.0,0.8566768415613352,0.45639864073919084,0.8185270548558277,0.31642152415862385,468.4
0.25,1.0,9,21,0.2,0.32,75,0.003,0.002,2.5,0.8566337424784006,0.4577213870675248,0.7116974955201205,0.3373677138404835,452.0
0.35,1.8,6,7,0.2,0.34,75,0.002,0.001,1.5,0.856784832602913,0.4590989931802315,0.7532304151537444,0.33018708679472014,813.4
0.15,1.8,5,13,0.15,0.3,150,0.002,0.001,2.0,0.8566746588778835,0.415416084050874,0.9644614226166877,0.26472156029321803,704.4
0.15,1.0,8,13,0.3,0.36,135,0.002,0.001,0.5,0.8565334250820096,0.44443847910437306,0.8920297998244463,0.2959474209439577,428.2
0.25,1.6,4,7,0.3,0.36,45,0.004,0.0,1.0,0.8563143270483945,0.45247695788627434,0.8557069602442372,0.3075608551485762,828.8
0.2,1.8,6,7,0.2,0.3,150,0.003,0.004,2.5,0.8567204598357758,0.43218078364165535,0.9285666957728325,0.28163436118788104,622.0
0.35,1.2,8,17,0.3,0.36,90,0.004,0.003,1.5,0.8564907004486271,0.4184231405376938,0.4887635685534236,0.3658619702326604,486.6
0.35,1.8,4,7,0.2,0.32,90,0.0005,0.001,1.0,0.8563764177203019,0.4576488975564715,0.7552281727312151,0.32831093484308843,895.0
0.2,1.8,4,9,0.15,0.36,135,0.004,0.003,1.5,0.8563897602156635,0.4318953144585291,0.9314924129164149,0.2811228736407991,804.6
0.15,1.2,6,13,0.3,0.3,75,0.002,0.004,1.0,0.8565617560767169,0.43489305854297483,0.922215516514757,0.2845395929424805,612.4
0.3,1.0,8,11,0.2,0.34,60,0.0005,0.0,1.0,0.8566684728949522,0.43060078812850333,0.5372181279209617,0.3593383958627346,514.6
0.25,1.8,9,13,0.3,0.3,135,0.002,0.003,1.5,0.8567058089524806,0.44772529011450224,0.8800410643943994,0.3002459593083401,461.2
0.35,1.8,7,19,0.15,0.38,30,0.003,0.002,2.5,0.8563197556000184,0.45771124852570555,0.7537299309422478,0.3286616744120199,626.0
0.25,1.0,4,11,0.35,0.38,30,0.002,0.004,0.5,0.8561767979295473,0.45685913092209407,0.7207600554417707,0.3344465773181773,777.8
0.2,1.6,8,19,0.25,0.32,165,0.003,0.003,0.5,0.8567337790784733,0.4398005804794156,0.9112258890558526,0.2898570602088217,534.6
0.3,1.4,7,15,0.25,0.3,60,0.002,0.003,2.0,0.8566659939797345,0.4585559590198186,0.7443816314884405,0.3313490401814359,581.2
0.25,1.6,8,5,0.3,0.3,105,0.002,0.002,0.5,0.8564924880363709,0.4527484284870348,0.854136704250035,0.30801833080022795,474.2
0.3,1.8,4,21,0.3,0.36,30,0.001,0.004,1.5,0.8564074721392452,0.45624805590118545,0.8235223655291325,0.31554108618280396,927.4
0.35,1.6,9,19,0.15,0.32,90,0.004,0.001,1.5,0.8565654863623141,0.4565303573295153,0.70520356108717,0.33753154063262486,404.8
0.3,1.6,4,5,0.35,0.32,60,0.002,0.004,0.5,0.8563433379516556,0.45710921505607727,0.7899107028948029,0.32162408964039263,885.8
0.35,1.6,4,11,0.15,0.36,45,0.001,0.003,1.5,0.8564322552772989,0.45700552281047485,0.7096990758601407,0.3370318949001425,906.2
0.35,1.4,7,19,0.3,0.32,135,0.004,0.001,2.0,0.8566384957020852,0.4462230706659544,0.6235654772863682,0.3474433749361452,566.4
